Author cleaned,Author editable,Viaf id,Viaf OK,Internal id,Internal id OK,notes,class
"Viaro, Andrea","Viaro, Andrea",http://viaf.org/viaf/,,778,778,sebina,0
"Codognato, Cristina","Codognato, Cristina",http://viaf.org/viaf/,,787,787,sebina,0
"Marini, Lazzaro","Marini, Lazzaro",http://viaf.org/viaf/,,788,788,sebina,0
"Cecchinato, Umberto","Cecchinato, Umberto",http://viaf.org/viaf/,,798,798,,0
"Sacerdoti, Alberto","Sacerdoti, Alberto",http://viaf.org/viaf/,,809,809,sebina,0
"Sacerdoti, A.","Sacerdoti, Alberto",http://viaf.org/viaf/,,809,809,,0
"Ferlin Malavasi, S.","Ferlin Malavasi, Stefania",http://viaf.org/viaf/,,814,814,sebina,0
"Lappa, Daphne","Lappa, Daphne",http://viaf.org/viaf/,,829,829,,0
"CARCAVALLO, MARIA GRAZIA","Carcavallo, Maria Grazia",http://viaf.org/viaf/,,832,832,sebina,0
"Ghermanti, Gabriella","Ghermanti, Gabriella",http://viaf.org/viaf/,,834,834,,0
"Ranon, Nerina","Ranon, Nerina",http://viaf.org/viaf/,,860,860,sebina,0
"Stabile, Eleonora","Stabile, Eleonora",http://viaf.org/viaf/,,892,892,,0
"Manera, Mario Valeri","Valeri Manera, Mario ",http://viaf.org/viaf/,,910,910,sebina,0
"Zuffellato, Elena","Zuffellato, Elena",http://viaf.org/viaf/,,915,915,sebina,0
"Fognano, F.","Fognano, F.",http://viaf.org/viaf/,,916,916,,0
"Öolak, Nikola","Öolak, Nikola",http://viaf.org/viaf/,,923,923,,0
"Grego, Mario","Grego, Mario",http://viaf.org/viaf/,,929,929,sebina,0
"Zanatta, Francesca","Zanatta, Francesca",http://viaf.org/viaf/,,933,933,,0
"Iannucci, Mario","Iannucci, Mario",http://viaf.org/viaf/,,937,937,sebina,0
"Cin, Valentina Dal","Dal Cin, Valentina ",http://viaf.org/viaf/,,954,954,,0
"Freddi, Piergiorgio","Freddi, Piergiorgio",http://viaf.org/viaf/,,962,962,non presente (sebina),0
"Manganiello, Alessandro","Manganiello, Alessandro",http://viaf.org/viaf/,,970,970,sebina,0
"Crivellari, Roberta Bravin e Cinzia","Bravin, Roberta",http://viaf.org/viaf/,,977,977,"Bravin, Roberta (sebina)",0
"Wirobisz, Andre","Wirobisz, Andre",http://viaf.org/viaf/,,989,989,sebina,0
"Checkik, Liya","Checkik, Liya",http://viaf.org/viaf/,,1003,1003,,0
"Guidolin, Francesca","Guidolin, Francesca",http://viaf.org/viaf/,,1011,1011,sebina,0
"Alberotanza, Luigi","Alberotanza, Luigi",http://viaf.org/viaf/,,1034,1034,sebina,0
"Roso, Daniela","Roso, Daniela",http://viaf.org/viaf/,,1042,1042,sebina,0
"Re, Domirco","Re, Domirco",http://viaf.org/viaf/,,1047,1047,sebina,0
"Cisotto, Leone","Cisotto, Leone",http://viaf.org/viaf/,,1053,1053,sebina,0
"ANICETTI, LUIGI","Anicetti, Luigi",http://viaf.org/viaf/,,1057,1057,sebina,0
"Appendino, Enzo","Appendino, Enzo",http://viaf.org/viaf/,,1059,1059,,0
"Vendramini, Renzo","Vendramini, Renzo",http://viaf.org/viaf/,,1062,1062,sebina,0
"Bortolozzo, Giuliana","Bortolozzo, Giuliana",http://viaf.org/viaf/,,1068,1068,sebina,0
"MARSICH, GIORGIO","Marsich, Giorgio",http://viaf.org/viaf/,,1080,1080,sebina,0
"Curcione, A.","Curcione, A.",http://viaf.org/viaf/,,1101,1101,sebina alessandro o andrea,0
"Crivellaro, D.","Crivellaro, D.",http://viaf.org/viaf/,,1102,1102,sebina deborah o domenico,0
"Bagagiolo, Alberto","Bagagiolo, Alberto",http://viaf.org/viaf/,,1107,1107,sebina,0
"Lachin, Enrico","Lachin, Enrico",http://viaf.org/viaf/,,1114,1114,sebina,0
"Sforza, Luigi Cesarini","Cesarini Sforza, Luigi ",http://viaf.org/viaf/,,1115,1115,sebina,0
"Evangelista, Rosanna","Evangelista, Rosanna",http://viaf.org/viaf/,,1129,1129,sebina,0
"Boschieri, Antonio","Boschieri, Antonio",http://viaf.org/viaf/,,1134,1134,,0
"Marco, Enzo De","De Marco, Enzo ",http://viaf.org/viaf/,,1149,1149,,0
"Bonan, Giacomo","Bonan, Giacomo",http://viaf.org/viaf/,,1194,1194,sebina,0
"Corneliu, Dina Dragan","Dragan Corneliu, Dina ",http://viaf.org/viaf/,,1202,1202,sebina,0
"Peressini, Andrea","Peressini, Andrea",http://viaf.org/viaf/,,1203,1203,sebina,0
"LAURENTI, NINETTA","Laurenti, Ninetta",http://viaf.org/viaf/,,1234,1234,sebina,0
"Chellini, Giulia","Chellini, Giulia",http://viaf.org/viaf/,,1260,1260,,0
"Scully, Sally A.","Scully, Sally A.",http://viaf.org/viaf/,,1281,1281,sebina,0
"Fungher, Roberta","Fungher, Roberta",http://viaf.org/viaf/,,1292,1292,,0
"Tseytlin, Sergei","Tseytlin, Sergei",http://viaf.org/viaf/,,1296,1296,sebina,0
"Fassina, Giacomo","Fassina, Giacomo",http://viaf.org/viaf/,,1320,1320,sebina,0
"Veneri, Toni","Veneri, Toni",http://viaf.org/viaf/,,1324,1324,sebina,0
"Smeraldi, Ferruccio","Smeraldi, Ferruccio",http://viaf.org/viaf/,,1335,1335,sebina,0
"D’Urso, Donato","D’Urso, Donato",http://viaf.org/viaf/,,1336,1336,sebina,0
"Molin, Federica","Molin, Federica",http://viaf.org/viaf/,,1375,1375,,0
"Leardini, Teo","Leardini, Teo",http://viaf.org/viaf/,,1376,1376,,0
"Zaramella, Tommaso","Zaramella, Tommaso",http://viaf.org/viaf/,,1390,1390,,0
"Benedetti, Silvano","Benedetti, Silvano",http://viaf.org/viaf/,,1392,1392,,0
"Billo, Maria","Billo, Maria",http://viaf.org/viaf/,,1406,1406,sebina,0
"Stefani, Patrizia","Stefani, Patrizia",http://viaf.org/viaf/,,1429,1429,,0
"Fiorio, Maria Stella","Fiorio, Maria Stella",http://viaf.org/viaf/,,1450,1450,,0
"Gerardi, Damiano","Gerardi, Damiano",http://viaf.org/viaf/,,1459,1459,,0
"Gervaso, Luigi","Gervaso, Luigi",http://viaf.org/viaf/,,1465,1465,,0
"Forsellini, M.","Forsellini, M.",http://viaf.org/viaf/,,1526,1526,,0
"emperini, Aldo T","Emperini, Aldo ",http://viaf.org/viaf/,,1527,1527,,0
"Zago-Battain, Carla","Battain Zago, Carla",http://viaf.org/viaf/,http://viaf.org/viaf/202929239,5,5,,1
"Picotti, Giovan Battista","Picotti, Giovanni Battista",http://viaf.org/viaf/,http://viaf.org/viaf/11282188,149,149,,1
"KIESLINGER, FRANCESCO","Kieslinger, Franz",http://viaf.org/viaf/,http://viaf.org/viaf/43014117,152,152,,1
"Bonati Savorgnan d’Osoppo, F.","Bonati Savorgnan d’Osoppo, Fulvio",http://viaf.org/viaf/,http://viaf.org/viaf/88719833,257,257,,1
"Bo, Calo","Bo, Carlo",http://viaf.org/viaf/,http://viaf.org/viaf/17236688,337,337,,1
"Verardo, Guglielmina Tieri","Verardo Tieri, Guglielmina",http://viaf.org/viaf/,http://viaf.org/viaf/238095588,362,362,,1
"Gina, Fasoli","Fasoli, Gina",http://viaf.org/viaf/,http://viaf.org/viaf/34550901,400,400,,1
"loly Zorattini, P. C.","Ioly Zorattini, Pier Cesare",http://viaf.org/viaf/,http://viaf.org/viaf/165816955,410,258,,1
"Secchi, Sandra Olivieri","Secchi Olivieri, Sandra",http://viaf.org/viaf/,http://viaf.org/viaf/206615959,418,418,,1
"Vlassi, Despina","Vlassi, Despina",http://viaf.org/viaf/,http://viaf.org/viaf/108027643,504,504,,1
"Vlassi, Despina Er.","Vlassi, Despina",http://viaf.org/viaf/,http://viaf.org/viaf/108027643,504,504,,1
"Zorzanello, Giovanni Scarabello-Giulio","Scarabello, Giovanni",http://viaf.org/viaf/,http://viaf.org/viaf/4935868,532,176,,1
"Sartorelli, Lina Passarella","Passarella Sartorelli, Lina ",http://viaf.org/viaf/,http://viaf.org/viaf/249591682,538,538,,1
"Mantese, C.","Mantese, Cristina",http://viaf.org/viaf/,http://viaf.org/viaf/2156662,550,550,,1
"Mantese, G.","Mantese, Giovanni",http://viaf.org/viaf/,http://viaf.org/viaf/135095,550,550,,1
"D’Alessandro, Dario","D’Alessandro, Dario",http://viaf.org/viaf/,http://viaf.org/viaf/79160732,556,556,,1
"Michieletto, Leone","Micheletto, Leone",http://viaf.org/viaf/,http://viaf.org/viaf/195795773,567,567,,1
"Micheletto, Leone","Micheletto, Leone",http://viaf.org/viaf/,http://viaf.org/viaf/195795773,567,567,,1
"Skarlandt, Giulio","Skarlandt, Julius",http://viaf.org/viaf/,http://viaf.org/viaf/75224631,648,648,,1
"Varsori, Maria Silvia Grandi","Grandi Varsori, Silvia",http://viaf.org/viaf/,http://viaf.org/viaf/244904103,649,649,,1
"Vittorio, Lazzarini","Lazzarini, Vittorio",http://viaf.org/viaf/,http://viaf.org/viaf/32124805,659,659,,1
"Lazzarini, Vittorio","Lazzarini, Vittorio",http://viaf.org/viaf/,http://viaf.org/viaf/32124805,659,659,,1
"Lazzarini, V.","Lazzarini, Vittorio",http://viaf.org/viaf/,http://viaf.org/viaf/32124805,659,659,,1
"Michele, Cesare De","De Michelis, Cesare ",http://viaf.org/viaf/,http://viaf.org/viaf/33084339,711,711,,1
"Ester, Zille","Ester, Zille",http://viaf.org/viaf/,http://viaf.org/viaf/311109862,722,722,,1
"Olivieri Secchi, S.","Secchi Olivieri, Sandra",http://viaf.org/viaf/,http://viaf.org/viaf/206615959,732,418,,1
"Spiazzi, Anna Maria Cocco","Spiazzi, Anna Maria ",http://viaf.org/viaf/,http://viaf.org/viaf/54452986,750,750,,1
"Ghrysostomides, Julian","Chrysostomides, Julian",http://viaf.org/viaf/,http://viaf.org/viaf/2493193,752,752,,1
"Lowry, Martin John Clement","Lowry, Martin",http://viaf.org/viaf/,http://viaf.org/viaf/34507586,843,843,,1
"NAHAPETIAN, GABRIEEE","Nahapetian, Gabriele",http://viaf.org/viaf/,http://viaf.org/viaf/311005459,897,897,,1
"Nahapetian, G.","Nahapetian, Gabriele",http://viaf.org/viaf/,http://viaf.org/viaf/311005459,897,897,,1
"Fagiani, Fernando","Fagiani, Fernando",http://viaf.org/viaf/,,898,898,,1
"Adolfo, Vital","Adolfo, Vital",http://viaf.org/viaf/,http://viaf.org/viaf/252602993,924,924,,1
"Marzo, Alessandro","Marzo Magno, Alessandro",http://viaf.org/viaf/,http://viaf.org/viaf/37047412,968,968,,1
"Breuzoni, R.","Brenzoni, Raffaello",http://viaf.org/viaf/,http://viaf.org/viaf/29599092,986,986,,1
"Muscara’, Calogero","Muscarà, Calogero",http://viaf.org/viaf/,http://viaf.org/viaf/113007988,992,992,,1
"Muscarà, Calogero","Muscarà, Calogero",http://viaf.org/viaf/,http://viaf.org/viaf/113007988,992,992,,1
"Passerella, Lina","Passerella, Lina",http://viaf.org/viaf/,http://viaf.org/viaf/249591682,1029,1029,"Passarella Sartorelli, Lina",1
"PASSARELLA, LINA","Passarella, Lina",http://viaf.org/viaf/,http://viaf.org/viaf/249591682,1029,1029,,1
"Passarella, Lina","Passarella, Lina",http://viaf.org/viaf/,http://viaf.org/viaf/249591682,1029,1029,,1
"ARNOULD, VANA","Arnould, Vana",http://viaf.org/viaf/,,1036,1036,sebina,1
"Lariviere, Bernard Doumerc-Claire Judde De","Judde De Lariviere, Claire ",http://viaf.org/viaf/,http://viaf.org/viaf/56888523,1066,1066,,1
"Levantis, Letitia","Levantis, Laetitia",http://viaf.org/viaf/,http://viaf.org/viaf/212242357,1077,1077,,1
"Cusin, Fabio","Cusin, Fabio",http://viaf.org/viaf/,http://viaf.org/viaf/233998996,1111,1111,,1
"Cusini, Fabio","Cusin, Fabio",http://viaf.org/viaf/,http://viaf.org/viaf/233998996,1111,1111,,1
"Karlafti-Mouratidi, Fotini","Karlafti Mouratidi, Photini",http://viaf.org/viaf/,http://viaf.org/viaf/89754712,1124,1124,,1
"Migliardi O’Riordan, G.","Migliardi O’Riordan, Giustiniana",http://viaf.org/viaf/,http://viaf.org/viaf/6783370,1127,1127,,1
"Pomian, Krzystof","Pomian, Krzysztof",http://viaf.org/viaf/,http://viaf.org/viaf/111503240,1137,1137,,1
"Pitter, Pompeo","Pitter, Pompeo",http://viaf.org/viaf/,,1156,1156,sebina,1
"Michailaris, Panaghiotis","Michailaris, Panagiotis",http://viaf.org/viaf/,http://viaf.org/viaf/193582615,1184,1184,,1
"Tassinari, Anna Maria Bellussi","Bellussi Tassinari, Annamaria ",http://viaf.org/viaf/,http://viaf.org/viaf/311351039,1222,1222,,1
"ATI, ARTURO POMPE","Pompeati, Arturo",http://viaf.org/viaf/,http://viaf.org/viaf/113517199,1229,861,,1
"Boschierei, Giacomo","Boschieri, Giacomo",http://viaf.org/viaf/,http://viaf.org/viaf/307356636,1237,1237,,1
"Rabbi, Chiara","Rabbi, Chiara",http://viaf.org/viaf/,,1255,1255,,1
"Arturo Maria, da Carmignano di Brenta","Arturo Maria, da Carmignano di Brenta",http://viaf.org/viaf/,http://viaf.org/viaf/88966032,1269,681,,1
"arda, Sergio Lav","Lavarda, Sergio",http://viaf.org/viaf/,http://viaf.org/viaf/66703700,1295,726,,1
"Zorzi, Rossella","Mamoli Zorzi, Rosella",http://viaf.org/viaf/,http://viaf.org/viaf/73875979,1302,733,,1
"Wilson, Carolyne.","Wilson, Carolyn C.",http://viaf.org/viaf/,http://viaf.org/viaf/94407978,1316,1316,,1
"Monese Recchia, V.","Monese Recchia, Valeria",http://viaf.org/viaf/,,1328,1328,sebina,1
"Premi, Francesco","Premi, Francesco",http://viaf.org/viaf/,,1340,1340,,1
"Garino, Ernesto","Garino, Ernesto",http://viaf.org/viaf/,,1462,1462,,1
"Fossataro, Enrico","Fossataro, Enrico",http://viaf.org/viaf/,,1491,1491,,1
"Jona, Renato","Jona, Renato",http://viaf.org/viaf/,,1500,1500,,1
"Vecchiato, Orazio","Vecchiato, Orazio",http://viaf.org/viaf/,,1503,1503,,1
"Agazia, Lionello","Agazia, Lionello",http://viaf.org/viaf/,,1517,1517,,1
"Brenta, Arturo da Carmignano di","Arturo Maria, da Carmignano di Brenta",http://viaf.org/viaf/,http://viaf.org/viaf/88966032,1269,681,,1
"Arturo Da Carmignano, P.","Arturo Da Carmignano, P.",http://viaf.org/viaf/,,1531,1531,,2
"Conticelli, Valentina","Conticelli, Valentina",http://viaf.org/viaf/10006978,,939,939,,1
"Carpi, D.","Carpi, D.",http://viaf.org/viaf/100165006,,1215,1215,,2
"Zorzi, Alvise","Zorzi, Alvise",http://viaf.org/viaf/100169765,,185,185,,1
"Hocquet, Jean-Claude","Hocquet, Jean-Claude",http://viaf.org/viaf/100171102,,146,146,(1936-),1
"Hocquet, J. C.","Hocquet, Jean-Claude",http://viaf.org/viaf/100171102,,146,146,,1
"Hocquet, Jean Claude","Hocquet, Jean Claude",http://viaf.org/viaf/100171102,,1248,146,,1
"Scarpa, P.","Scarpa, P.",http://viaf.org/viaf/100173854,,1005,1005,,2
"Grandi, Terenzio","Grandi, Terenzio",http://viaf.org/viaf/100178184,,523,523,,2
"Grandi, T.","Grandi, Terenzio",http://viaf.org/viaf/100178184,,523,523,,2
"Rosso, S.","Rosso, S.",http://viaf.org/viaf/100184045,,620,620,,0
"Brunelli, Bruno","Brunelli, Bruno",http://viaf.org/viaf/100190860,,686,686,,1
"Brunelli, B.","Brunelli, Bruno",http://viaf.org/viaf/100190860,,686,686,,1
"Pagnini, C.","Pagnini, C.",http://viaf.org/viaf/100204205,,1519,1519,,2
"Greco, L.","Greco, L.",http://viaf.org/viaf/100215785,,1388,1388,,2
"Lotti, P.","Lotti, P.",http://viaf.org/viaf/100314273,,9,9,,2
"Mazzucco, L.","Mazzucco, L.",http://viaf.org/viaf/100327326,,444,444,,0
"Jutronic, Andre","Jutronić, Andre",http://viaf.org/viaf/100341345,,316,316,,1
"Spada, N.","Spada, N.",http://viaf.org/viaf/10034791,,531,531,,2
"Tosin, Luca","Tosin, Luca",http://viaf.org/viaf/100573260,,1224,1224,,1
"Natale, Maria","Natale, Maria",http://viaf.org/viaf/10069680,,433,433,,2
"Delorenzi, Paolo","Delorenzi, Paolo",http://viaf.org/viaf/100820950,,797,797,,1
"Ravegnani, Giorgio","Ravegnani, Giorgio",http://viaf.org/viaf/100867876,,1158,1158,,1
"Lermer, Andrea","Lermer, Andrea",http://viaf.org/viaf/100876020,,842,842,,1
"Franchi, Nicolò Luxardo De","Luxardo De Franchi, Nicolò ",http://viaf.org/viaf/100904068,,1135,1135,,1
"Tomasella, Giuliana","Tomasella, Giuliana",http://viaf.org/viaf/10156903,,1514,1514,,1
"Pedretti, Carlo","Pedretti, Carlo",http://viaf.org/viaf/101659333,,655,655,,1
"Mondini, M.","Mondini, M.",http://viaf.org/viaf/10203574,,429,429,,1
"Ventura, A.","Ventura, A.",http://viaf.org/viaf/102320586,,517,517,,2
"Cini, Vittorio","Cini, Vittorio",http://viaf.org/viaf/102374329,,169,169,,1
"Bernardi, Donatella","Bernardi, Donatella",http://viaf.org/viaf/102413243,,471,471,,1
"Goedicke, Christian","Goedicke, Christian",http://viaf.org/viaf/102544674,,437,437,,2
"Piovan, Giuliano","Piovan, Giuliano",http://viaf.org/viaf/102993208,,998,998,,1
"Silva, José Gentil da","Silva, José Gentil da",http://viaf.org/viaf/103146,,1154,1154,,1
"Silva, José-Gentil Da","Silva, José Gentil da",http://viaf.org/viaf/103146,,1205,1154,,1
"Luchetta, M.","Luchetta, M.",http://viaf.org/viaf/103226897,,413,413,,2
"Bassignano, M. S.","Bassignano, Maria Silvia",http://viaf.org/viaf/103333085,,586,586,,1
"Galtarossa, Massimo","Galtarossa, Massimo",http://viaf.org/viaf/103665390,,625,625,,1
"Galtarossa, M.","Galtarossa, Massimo",http://viaf.org/viaf/103665390,,625,625,,1
"Favetta, Marco","Favetta, Marco",http://viaf.org/viaf/103760622,,785,785,,1
"Scruzzi, Davide","Scruzzi, Davide",http://viaf.org/viaf/103814733,,1103,1103,,1
"Fontana, Giovanni L.","Fontana, Giovanni Luigi",http://viaf.org/viaf/104240392,http://viaf.org/viaf/9875078,957,957,,1
"Santosuosso, Antonio","Santosuosso, Antonio",http://viaf.org/viaf/104316670,,1262,1262,,1
"Celetti, D.","Celetti, David",http://viaf.org/viaf/104787043,http://viaf.org/viaf/59418667,302,302,,1
"Favero, G.","Favero, Giovanni",http://viaf.org/viaf/106816959,,536,536,,2
"Favero, Giovanni","Favero, Giovanni",http://viaf.org/viaf/106816959,,536,536,,2
"Amendola, Marzia","Amendola, Marzia",http://viaf.org/viaf/106862040,,468,468,,1
"Keates, Jonathan","Keates, Jonathan",http://viaf.org/viaf/107027493,,166,166,,1
"Pavanello, Loredana Luisa","Pavanello, Loredana Luisa",http://viaf.org/viaf/107278443,,1342,1342,,1
"Corsato, Carlo","Corsato, Carlo",http://viaf.org/viaf/107326142,,394,394,,1
"Candiani, Guido","Candiani, Guido",http://viaf.org/viaf/107380698,,1104,1104,,1
"Griva, Luigi","Griva, Luigi",http://viaf.org/viaf/107408921,,159,159,,1
"Tzavara, Angeliki","Tzavara, Angeliki",http://viaf.org/viaf/108027658,,1197,1197,,1
"Dissera-Bragadin, Giorgio","Dissera Bragadin, Giorgio",http://viaf.org/viaf/108118544,,985,985,,1
"Bragadin, Giorgio Dissera","Dissera Bragadin, Giorgio ",http://viaf.org/viaf/108118544,,1473,985,,1
"Lane, Frederic C.","Lane, Frederic Chaoin",http://viaf.org/viaf/108227681,,1516,1516,,1
"Corboz, André","Corboz, André",http://viaf.org/viaf/108392567,,317,317,,1
"Kellenbenz, H.","Kellenbenz, Hermann",http://viaf.org/viaf/108523929,,1428,1428,,1
"Gallo, B.","Gallo, B.",http://viaf.org/viaf/108584399,,80,80,,2
"Takada, K.","Takada, K.",http://viaf.org/viaf/108624132,,1151,1151,,2
"Ponti, Giovanni","Ponti, Giovanni",http://viaf.org/viaf/108666789,,402,402,,2
"PONTI, GIOVANNI","Ponti, Giovanni",http://viaf.org/viaf/108666789,,402,402,,2
"Ponti, G.","Ponti, Giovanni",http://viaf.org/viaf/108666789,,402,402,,2
"Noè, Enrico","Noè, Enrico",http://viaf.org/viaf/10877942,,408,408,,2
"Noè, E.","Noè, Enrico",http://viaf.org/viaf/10877942,,408,408,,2
"Branca, V.","Branca, Vittore",http://viaf.org/viaf/108823947,,265,265,,1
"Branca, Vittore","Branca, Vittore",http://viaf.org/viaf/108823947,,265,265,,1
"Tenenti, Alberto","Tenenti, Alberto",http://viaf.org/viaf/109320487,,304,304,,1
"Benzoni, G.","Benzoni, Gino",http://viaf.org/viaf/109443198,,139,139,,1
"Benzoni, Gino","Benzoni, Gino",http://viaf.org/viaf/109443198,,139,139,,1
"Benzon, G.","Benzoni, Gino",http://viaf.org/viaf/109443198,,139,139,,1
"Fossati, F.","Fossati, F.",http://viaf.org/viaf/109465024,,863,863,,2
"Luttrell, Anthony","Luttrell, Anthony Thornton",http://viaf.org/viaf/109760797,,582,582,,1
